Text,Output
Accusing the wife of not giving enough gifts to in-laws.,dowry-deaths  
Accusing the wife of not being affectionate enough.,dowry-deaths
Accusing the wife of not producing a male heir.,dowry-deaths
Accusing the wife of not producing children soon enough.,dowry-deaths
Accusing the wife of not producing enough children.,dowry-deaths
Accusing the wife of not caring for the husband's parents.,dowry-deaths
Accusing the wife of not fulfilling traditional roles.,dowry-deaths
Accusing the wife of not adhering to dietary restrictions.,dowry-deaths
Accusing the wife of not following religious practices.,dowry-deaths
Accusing the wife of not observing fasting or rituals.,dowry-deaths
Accusing the wife of not observing traditional customs.,dowry-deaths  
Accusing the wife of not adhering to cultural norms.,dowry-deaths
Accusing the wife of not following specific rituals.,dowry-deaths
Accusing the wife of not maintaining family honor.,dowry-deaths 
Accusing the wife of not taking care of in-laws.,dowry-deaths
Accusing the wife of not being a dutiful daughter-in-law.,dowry-deaths
Accusing the wife of not contributing to family income.,dowry-deaths
Accusing the wife of not supporting the husband's career.,dowry-deaths
Accusing the wife of not respecting family elders.,dowry-deaths
Accusing the wife of not seeking permission for decisions.,dowry-deaths
Accusing the wife of not being submissive to family rules.,dowry-deaths
Accusing the wife of not following the husband's instructions.,dowry-deaths
When a woman dies due to any burns or bodily injury and it occurs within seven years of her marriage it can fall under Section 304B.,dowry-deaths  
If it is established that there was a demand for dowry whether before or after the marriage and this demand led to the death of the woman.,dowry-deaths  
Cruelty or Harassment: When a woman is subjected to cruelty or harassment by her husband or his relatives with the intention of coercing her or her relatives to meet dowry demands.,dowry-deaths  
There is a legal presumption that the death of a woman within seven years of her marriage caused by burns or bodily injury is a dowry death unless proven otherwise. ,dowry-deaths
A husband discovers explicit text messages from another man on his wife's phone.,adultery
A wife suspects her husband of having an affair after finding a mysterious piece of jewelry in his car.,adultery   
A man hires a private investigator to confirm his suspicions of his wife's infidelity.,adultery
A woman begins to have an affair with her coworker after a series of secret lunch dates.,adultery  
A husband becomes suspicious when his wife starts coming home late from work every night.,adultery
A wife discovers her husband has been sending romantic emails to a woman he met online.,adultery
A husband and wife both have secret affairs and unknowingly cheat on each other.,adultery
A man catches his wife in bed with his best friend.,adultery
A woman finds a love letter from her husband to another woman hidden in his drawer.,adultery
A wife's perfume smells like another man's cologne raising her husband's suspicions.,adultery  
A husband discovers his wife has been using a dating app on her phone.,adultery
A wife suspects her husband of infidelity when he starts going to the gym more often.,adultery
A husband and wife both attend the same party and end up flirting with other people.,adultery
A woman believes her husband is having an affair with a woman from their neighborhood.,adultery
A husband finds lipstick stains on his wife's collar.,adultery
A wife secretly meets her lover during her business trips.,adultery
A man is caught by his wife while texting another woman late at night.,adultery  
A wife becomes suspicious when her husband starts going on frequent business trips.,adultery
A husband and wife both have secret online profiles on a dating website.,adultery
A woman discovers her husband's old love letters to an ex-girlfriend.,adultery
A husband and wife secretly exchange flirtatious messages with their respective coworkers.,adultery   
A wife suspects her husband of infidelity when he starts guarding his phone.,adultery
A husband catches his wife and her ex-boyfriend having a secret meeting.,adultery  
A woman finds compromising photos of her husband with another woman on his laptop.,adultery
A husband and wife meet their exes at a high school reunion and sparks fly.,adultery
A wife overhears her husband whispering sweet nothings to someone over the phone.,adultery
A husband becomes suspicious when his wife starts buying sexy lingerie.,adultery
A wife discovers her husband's secret love notes hidden in his desk.,adultery  
A man finds out his wife has been confiding in her male therapist.,adultery
A husband and wife both attend a cooking class and flirt with the instructors.,adultery
A woman suspects her husband is having an affair when he starts going to a new gym.,adultery
A husband catches his wife secretly meeting an old flame.,adultery
A wife finds a hotel receipt in her husband's jacket with an unfamiliar woman's name.,adultery
A husband and wife have secret rendezvous with their respective lovers in a nearby town.,adultery
A woman discovers her husband's secret social media accounts dedicated to flirting with other people.,adultery  
A husband becomes suspicious when his wife starts receiving anonymous gifts.,adultery
A wife suspects her husband of infidelity when he starts spending more time on his phone.,adultery  
A husband and wife both secretly flirt with the bartender at their favorite pub.,adultery
A husband catches his wife dancing intimately with another man at a party.,adultery
A woman finds explicit text messages on her husband's tablet from a coworker.,adultery
A husband and wife both have secret affairs with people they met in online gaming communities.,adultery
A wife suspects her husband of infidelity when he starts dressing up more than usual.,adultery  
A husband discovers his wife has been going on solo weekend getaways.,adultery
A wife finds a love letter from her husband's college sweetheart hidden in a book.,adultery
A husband becomes suspicious when his wife frequently attends yoga classes with a charismatic instructor.,adultery
A husband catches his wife secretly going on long drives with a male friend.,adultery
A woman suspects her husband is having an affair when he starts taking weekend fishing trips with a female colleague.,adultery  
A wife discovers her husband's secret stash of gifts from another woman.,adultery
A husband and wife both secretly engage in extramarital affairs through online forums.,adultery
A husband becomes suspicious when his wife starts going to book club meetings.,adultery
A wife overhears her husband having a flirtatious conversation with a coworker over the phone.,adultery
A husband catches his wife and her former classmate sharing a passionate kiss.,adultery
A woman finds her husband's old diary filled with entries about his past relationships., adultery  
A husband and wife both start flirting with other vacationers during a tropical getaway.,adultery  
A wife suspects her husband of infidelity when he begins attending art classes.,adultery
A husband discovers his wife has been receiving love letters from a secret admirer.,adultery
A wife finds an expensive gift from her husband to another woman hidden in the closet.,adultery
A husband and wife both secretly rekindle relationships with their childhood sweethearts.,adultery
A husband becomes suspicious when his wife starts going to salsa dancing classes.,adultery
A wife catches her husband exchanging romantic notes with his personal trainer.,adultery
A husband discovers his wife has been secretly communicating with her ex-boyfriend on social media.,adultery  
A wife finds a heartfelt letter from her husband to a former colleague.,adultery
A husband and wife both flirt with the barista at their local coffee shop.,adultery
A husband becomes suspicious when his wife frequently attends photography classes.,adultery
A wife catches her husband texting another woman while on a family vacation.,adultery
A husband discovers his wife has been going on nature hikes with a male friend.,adultery
A wife finds a collection of romantic poems written by her husband dedicated to another woman.,adultery  
A husband and wife both secretly start attending swing dance lessons.,adultery
A husband becomes suspicious when his wife starts taking long walks with a male neighbor.,adultery
A wife overhears her husband having a late-night conversation with a mysterious caller.,adultery
A husband catches his wife secretly going on camping trips with a coworker.,adultery
A woman suspects her husband of infidelity when he starts volunteering at a charity with an attractive woman.,adultery
A wife discovers her husband's secret playlist filled with love songs from his past relationships.,adultery
A husband and wife both start flirting with the instructors at their fitness class.,adultery    
A husband becomes suspicious when his wife starts participating in charity runs with a man from work.,adultery
A wife finds a stash of love letters written by her husband to a woman from his college days.,adultery
A husband and wife both secretly engage in emotional affairs with people they met at a support group.,adultery
A husband catches his wife sharing secrets with a neighbor over the fence.,adultery  
A wife discovers her husband's secret blog where he writes about his crush on a colleague.,adultery  
A husband and wife both exchange passionate glances with their personal trainers.,adultery
A husband becomes suspicious when his wife starts spending time with a male friend who just moved into the neighborhood.,adultery
A wife overhears her husband having an affectionate conversation with a fellow parent at a school event.,adultery
A 16-year-old girl is forced into marriage by her parents violating the act.,child-marriage
A 15-year-old boy is married off to a 25-year-old woman.,child-marriage  
A case where parents attempt to marry off a 12-year-old girl.,child-marriage   
A 17-year-old girl elopes with her 18-year-old boyfriend bypassing the legal age.,child-marriage
A community leader helps arrange child marriages within his village.,child-marriage
A child marriage is performed in secret to avoid legal consequences.,child-marriage
A 13-year-old girl is married off to a 30-year-old man.,child-marriage
A religious leader encourages child marriages within his congregation.,child-marriage  
A case where a child bride faces abuse within her marriage.,child-marriage
A 16-year-old boy is married off to a 40-year-old woman.,child-marriage
Parents lie about their child's age to conduct a child marriage.,child-marriage
A child marriage is arranged for financial gain.,child-marriage
A 14-year-old girl is married to a much older man against her will.,child-marriage
A 15-year-old boy is coerced into marrying a girl of the same age.,child-marriage
A child marriage occurs due to social pressure and customs.,child-marriage
A 17-year-old girl is forced into marriage by her guardians.,child-marriage  
A 14-year-old girl marries a 16-year-old boy without parental consent.,child-marriage
A child marriage is performed in a remote area to avoid detection.,child-marriage   
A 13-year-old boy is married off to a 25-year-old woman.,child-marriage
Parents arrange a child marriage as a way to settle a dispute.,child-marriage
A case where the act is not enforced due to lack of awareness.,child-marriage  
A child marriage is conducted under the guise of a religious ceremony.,child-marriage
A 15-year-old girl is married off to a much older man.,child-marriage
A minor is married to a foreign national violating the law.,child-marriage
A child marriage is performed in another state to evade prosecution.,child-marriage
A 16-year-old girl is married off to a man from a different caste.,child-marriage
A 14-year-old boy is married off to a 17-year-old girl.,child-marriage
A child marriage is arranged to gain political support.,child-marriage
A 12-year-old girl is married off to a man of a different religion.,child-marriage
A case where a child marriage is conducted during a festival.,child-marriage
A 17-year-old boy is married off to a 14-year-old girl.,child-marriage
A child marriage occurs due to parental superstitions.,child-marriage
A 15-year-old girl is married off to a relative against her will.,child-marriage
A 13-year-old girl is married off to a man with a criminal history.,child-marriage
A child marriage takes place with parental consent but without legal approval.,child-marriage
A 16-year-old girl is married off to a person with a contagious disease.,child-marriage
A child marriage is arranged to secure an inheritance.,child-marriage
A 14-year-old boy is married off to a 22-year-old woman.,child-marriage  
A case where a child marriage leads to a tragic outcome.,child-marriage
A 17-year-old girl is married off to a much older man.,child-marriage
A child marriage is arranged to prevent the girl from pursuing education.,child-marriage
A 15-year-old boy is married off to a girl from a lower social class.,child-marriage
A 13-year-old boy is married off to a girl from a wealthier family.,child-marriage
A child marriage takes place with forged documents.,child-marriage
A 16-year-old girl is married off to an NRI (Non-Resident Indian).,child-marriage
A case where child marriage is a result of human trafficking.,child-marriage
A 14-year-old girl is married off to a person with a history of violence.,child-marriage  
A child marriage occurs within a tribal community.,child-marriage
A 17-year-old boy is married off to a 15-year-old girl without consent.,child-marriage
A child marriage is a response to societal stigma.,child-marriage
A 12-year-old girl is married off to an elderly man for financial gain.,child-marriage
A 15-year-old girl is married off to her rapist.,child-marriage
A 13-year-old boy is married off to a woman who is already married.,child-marriage
A child marriage is arranged to resolve a family conflict.,child-marriage
A 16-year-old girl is married off to a person with a severe disability.,child-marriage
A child marriage is arranged to maintain traditional customs.,child-marriage
A 14-year-old boy is married off to a woman with multiple children.,child-marriage  
A case where a child marriage is conducted during a natural disaster.,child-marriage
A 17-year-old girl is married off to a man with substance abuse issues.,child-marriage
A child marriage occurs in a conflict-ridden region.,child-marriage
A 15-year-old boy is married off to a girl with a life-threatening illness.,child-marriage   
A 13-year-old girl is married off to a person with a criminal record.,child-marriage
A child marriage is arranged to resolve a land dispute.,child-marriage
A 16-year-old girl is married off to an influential person.,child-marriage  
A child marriage is conducted as part of a religious cult.,child-marriage  
A 14-year-old girl is married off to a man with a history of domestic violence.,child-marriage
A 17-year-old boy is married off to a 16-year-old girl with parental consent.,child-marriage
A child marriage is arranged to strengthen political alliances.,child-marriage
A 12-year-old girl is married off to a man with a history of child abuse.,child-marriage
A case where a child marriage is a result of online grooming.,child-marriage
A 15-year-old girl is married off to a much older man with several wives.,child-marriage
A child marriage takes place within an economically disadvantaged community.,child-marriage  
A 13-year-old boy is married off to a girl who is mentally challenged.,child-marriage
A child marriage is arranged to cover up a criminal act.,child-marriage
A 16-year-old girl is married off to a person with a history of substance abuse.,child-marriage
A child marriage is conducted within a nomadic tribe.,child-marriage
A 14-year-old boy is married off to a 25-year-old woman with a criminal background.,child-marriage
A case where a child marriage is the result of parental neglect.,child-marriage
A 17-year-old girl is married off to a man from a different cultural background.,child-marriage   
A child marriage is arranged to preserve a family's honor.,child-marriage
A 15-year-old boy is married off to a girl who is pregnant.,child-marriage  
A 13-year-old girl is married off to an individual with a history of mental illness.,child-marriage
A child marriage is arranged as a form of punishment.,child-marriage
A 16-year-old girl is married off to a person who is HIV positive.,child-marriage
A child marriage is conducted within a minority community.,child-marriage
A 14-year-old girl is married off to a 20-year-old man with a substance addiction.,child-marriage
A case where a child marriage is the result of cultural isolation.,child-marriage
A 17-year-old boy is married off to a 16-year-old girl due to family pressure.,child-marriage
A child marriage is arranged to control the girl's inheritance.,child-marriage
Physical abuse such as hitting slapping or punching.,domestic-violence
Verbal abuse and name-calling.,domestic-violence
Threats of violence or harm.,domestic-violence  
Emotional abuse including manipulation and control.,domestic-violence
Economic abuse such as controlling finances or preventing access to money.,domestic-violence
Stalking and harassment.,domestic-violence    
Cyberbullying and online harassment.,domestic-violence
Restricting a woman's freedom of movement.,domestic-violence
Forcing a woman to engage in sexual activities against her will.,domestic-violence
Marital rape.,domestic-violence
Denying a woman access to medical care or medication.,domestic-violence
Preventing a woman from working or pursuing her career.,domestic-violence
Disrupting a woman's education or preventing her from pursuing it.,domestic-violence  
Social isolation and preventing a woman from seeing friends and family.,domestic-violence
Destroying a woman's personal property.,domestic-violence
Forcing a woman to engage in illegal activities.,domestic-violence  
Controlling or monitoring a woman's communication and social media.,domestic-violence
Threatening to harm a woman's children or pets.,domestic-violence
Defamation and spreading false rumors about a woman.,domestic-violence
Demanding dowry or financial assets from a woman's family.,domestic-violence
Forced marriage or child marriage.,domestic-violence
Female genital mutilation.,domestic-violence  
Acid attacks.,domestic-violence   
Witchcraft accusations and violence against women.,domestic-violence
Female infanticide and selective abortion of female fetuses.,domestic-violence
Denial of inheritance rights to women.,domestic-violence
Forced labor or servitude.,domestic-violence
Denying a woman access to food and nutrition.,domestic-violence
Intentional transmission of diseases such as HIV to a woman.,domestic-violence
Threatening to out a woman's sexual orientation.,domestic-violence  
Threatening to reveal a woman's private and personal information.,domestic-violence
Discrimination and violence against transgender women.,domestic-violence
Honor killings.,domestic-violence
Preventing a woman from practicing her religion or beliefs.,domestic-violence
Denying access to birth control and family planning.,domestic-violence
Emotional neglect and indifference to a woman's needs.,domestic-violence
Undermining a woman's self-esteem and self-worth.,domestic-violence
Discrediting a woman's achievements or capabilities.,domestic-violence  
Spreading revenge porn or intimate images without consent.,domestic-violence   
Coercing a woman into substance abuse.,domestic-violence
Forcing a woman to engage in criminal activities.,domestic-violence
Impersonating a woman online to damage her reputation.,domestic-violence
Threatening to involve law enforcement or immigration authorities.,domestic-violence
Exploiting a woman's immigration status.,domestic-violence
Discrimination based on caste or race.,domestic-violence
Denying access to clean water and sanitation facilities.,domestic-violence  
Coercion into forced labor or prostitution.,domestic-violence
Forced confinement in a room or space.,domestic-violence
Denying access to childcare or education for her children.,domestic-violence
Threatening to harm or kill a woman's family members.,domestic-violence
Destruction of personal documents or identification.,domestic-violence
Psychological manipulation and gaslighting.,domestic-violence
Forced abortion or sterilization.,domestic-violence
Threatening to take custody of a woman's children.,domestic-violence  
Discrimination based on disability.,domestic-violence
Psychological abuse targeting a woman's sexual orientation.,domestic-violence
Forcing a woman to undergo unwanted medical procedures.,domestic-violence
Spreading false accusations of infidelity.,domestic-violence
Emotional blackmail and guilt-tripping.,domestic-violence  
Coercing a woman into illegal activities.,domestic-violence
Repeatedly undermining a woman's efforts to seek employment.,domestic-violence
Denying access to basic hygiene and sanitary products.,domestic-violence
Threatening to out a woman's HIV status.,domestic-violence   
Isolating a woman from her cultural or religious community.,domestic-violence
Discrediting a woman's efforts to report abuse.,domestic-violence
Preventing a woman from seeking legal or medical help.,domestic-violence
Discrimination based on age.,domestic-violence
Disrupting a woman's access to therapy or counseling.,domestic-violence  
Forcing a woman to engage in risky sexual activities.,domestic-violence
Threatening to damage a woman's professional reputation.,domestic-violence
Forcing a woman to participate in illegal gambling or activities.,domestic-violence
Cyberbullying with the intent to harm a woman's mental health.,domestic-violence
Exploiting a woman's vulnerabilities for financial gain.,domestic-violence
Denying access to information or news.,domestic-violence
Threatening to damage a woman's credit or financial stability.,domestic-violence  
Forcing a woman to participate in self-harming behaviors.,domestic-violence
Coercing a woman into eating disorders or unhealthy habits.,domestic-violence
Discrimination based on nationality or immigration status.,domestic-violence
Repeatedly spreading false rumors about a woman.,domestic-violence   
Forcing a woman to engage in acts of self-degradation.,domestic-violence
Threatening to involve child protective services.,domestic-violence  
Exploiting a woman's dependence on medication.,domestic-violence
Discrimination based on marital status.,domestic-violence
Isolating a woman from her support network.,domestic-violence
Spreading false accusations of criminal behavior.,domestic-violence
Denying access to reproductive healthcare.,domestic-violence
Threatening to damage a woman's academic or educational progress.,domestic-violence
Forcing a woman into financial dependency.,domestic-violence  
Coercing a woman into self-harm or suicide.,domestic-violence
Emotional abuse targeting a woman's religious beliefs.,domestic-violence
Discrimination based on sexual orientation.,domestic-violence
Preventing a woman from participating in cultural or social events.,domestic-violence
Threatening to harm a woman's mental health.,domestic-violence  
Denying access to legal representation.,domestic-violence
Coercing a woman into substance addiction.,domestic-violence   
Emotional abuse targeting a woman's physical appearance.,domestic-violence
Discrimination based on body size or shape.,domestic-violence
Preventing a woman from seeking mental health support.,domestic-violence
Threatening to damage a woman's physical health.,domestic-violence
Forcing a woman to engage in acts of humiliation or degradation.,domestic-violence
A traditional arranged marriage between two Hindus.,hindu-marriage  
A love marriage between two Hindus.,hindu-marriage
A marriage between an adult Hindu and a minor with parental consent.,hindu-marriage
A marriage between a Hindu and a non-Hindu.,hindu-marriage
A marriage ceremony that does not adhere to Hindu customs and rituals.,hindu-marriage
A marriage where one or both parties are previously married and seeking divorce.,hindu-marriage
A marriage between two Hindus of different castes.,hindu-marriage    
A marriage with dowry-related disputes.,hindu-marriage
A marriage with allegations of domestic violence.,hindu-marriage
A marriage where one spouse converts to another religion.,hindu-marriage  
A marriage where one spouse is missing and the other seeks a declaration of presumed death.,hindu-marriage
A marriage where a party is not of sound mind.,hindu-marriage
A marriage between two persons with disabilities.,hindu-marriage  
A marriage between two transgender individuals.,hindu-marriage
A marriage between an Indian Hindu and an NRI (Non-Resident Indian).,hindu-marriage
A marriage where one party is impotent.,hindu-marriage
A marriage with allegations of cruelty.,hindu-marriage
A marriage with disputes over property and assets.,hindu-marriage
A marriage with disputes over alimony or maintenance.,hindu-marriage
A marriage involving multiple spouses (polygamy).,hindu-marriage  
A marriage where one party has a criminal background.,hindu-marriage
A marriage with allegations of infidelity.,hindu-marriage   
A marriage where one party is already married under a different identity.,hindu-marriage
A marriage with disputes over child custody.,hindu-marriage  
A marriage with issues related to adoption.,hindu-marriage
A marriage where one party conceals crucial information.,hindu-marriage
A marriage involving forced or fraudulent consent.,hindu-marriage
A marriage involving an interfaith couple and disputes over religious practices.,hindu-marriage
A marriage with disputes over the naming of children.,hindu-marriage
A marriage involving a transgender person and disputes over gender recognition.,hindu-marriage
A marriage with disputes over the veracity of the marriage certificate.,hindu-marriage  
A marriage involving surrogacy and disputes over parental rights.,hindu-marriage
A marriage with disputes over the payment of maintenance to the spouse.,hindu-marriage
A marriage with disputes over the division of matrimonial property.,hindu-marriage    
A marriage where one spouse seeks an annulment based on non-consummation.,hindu-marriage
A marriage with disputes over the registration of the marriage.,hindu-marriage
A marriage involving caste-based discrimination and disputes.,hindu-marriage  
A marriage with issues related to bigamy.,hindu-marriage
A marriage with disputes over the timing of religious ceremonies.,hindu-marriage
A marriage where one spouse is a foreign national.,hindu-marriage
A marriage with disputes over inheritance rights.,hindu-marriage
A marriage with disputes related to the treatment of joint family property.,hindu-marriage
A marriage with disputes over the nationality of the child.,hindu-marriage
A marriage with allegations of fraudulent intent.,hindu-marriage   
A marriage with disputes over prenuptial agreements.,hindu-marriage  
A marriage where one spouse seeks a restraining order against the other.,hindu-marriage
A marriage with disputes related to child support.,hindu-marriage
A marriage where one spouse is non-resident and seeks a divorce.,hindu-marriage
A marriage with issues related to gender identity and recognition.,hindu-marriage
A marriage where one spouse is involved in an extramarital affair.,hindu-marriage
A marriage with disputes over the registration of a religious conversion.,hindu-marriage  
A marriage with disputes over the date of separation.,hindu-marriage
A marriage with disputes over cultural differences.,hindu-marriage
A marriage involving surrogacy and disputes over parental rights.,hindu-marriage  
A marriage with disputes over joint bank accounts.,hindu-marriage
A marriage with allegations of false dowry harassment complaints.,hindu-marriage
A marriage where one party is an adopted child and issues arise regarding the biological parents.,hindu-marriage
A marriage where one party is a transgender person and disputes arise regarding the gender classification.,hindu-marriage
A marriage with disputes over the validity of the marriage ceremony.,hindu-marriage
A marriage with allegations of financial fraud.,hindu-marriage    
A marriage where one party is involved in a same-sex relationship.,hindu-marriage
A marriage with disputes over child custody in the case of separation.,hindu-marriage
A marriage where one party refuses to comply with a court-ordered divorce decree.,hindu-marriage
A Hindu and a Muslim want to marry.,special-marriage
A Christian and a Sikh wish to have an interfaith marriage.,special-marriage
An Indian citizen and a foreign national want to get married in India.,special-marriage
A couple from different castes within the same religion plans to marry.,special-marriage
A man and a woman of the same religion but different states in India want to marry.,special-marriage
A person of Indian nationality and a person of Nepali nationality wish to marry.,special-marriage
A Parsi and a Jain want to register their marriage under the Special Marriage Act.,special-marriage
A Buddhist and a person of no religious affiliation desire a civil marriage.,special-marriage
A person who has converted to a different religion and their partner from a different religion.,special-marriage
An Indian citizen and an NRI (Non-Resident Indian) plan to marry in India.,special-marriage
A person with a disability wants to marry someone without a disability.,special-marriage
A transgender individual wants to marry someone of the opposite gender.,special-marriage
A widowed person wishes to marry a divorcee.,special-marriage
A same-sex couple wants to have a legal union.,special-marriage
A couple with a significant age difference wishes to marry.,special-marriage
A couple where one person is in the armed forces and the other is not.,special-marriage
A couple where one person has a criminal record and the other does not.,special-marriage
A couple who are cousins want to marry legally.,special-marriage
A couple with different educational backgrounds plans to marry.,special-marriage
A couple where one person has been previously married and the other is not.,special-marriage
A couple where one person is employed and the other is not.,special-marriage
A couple where one person is a government employee and the other is not.,special-marriage
A couple who are both government employees want to register their marriage.,special-marriage
A couple who are both teachers in different schools wish to marry.,special-marriage
A couple who are both doctors in different hospitals want to have a civil marriage.,special-marriage
A couple who are both lawyers from different states in India plan to marry.,special-marriage
A couple where one person is a lawyer and the other is a doctor wishes to marry.,special-marriage
A couple who are both artists want to register their marriage.,special-marriage
A couple who are both engineers from different engineering disciplines want a legal union.,special-marriage
A couple who are both entrepreneurs desire to marry under this act.,special-marriage
A couple who are both IT professionals from different companies want to marry.,special-marriage
A couple who are both in the entertainment industry wish to have a civil marriage.,special-marriage
A couple who are both in the hospitality industry want to register their marriage.,special-marriage
A couple where one person is a chef and the other is a hotel manager plans to marry.,special-marriage
A couple where one person is a pilot and the other is an air hostess wants to have a legal union.,special-marriage
A couple where one person is a police officer and the other is not.,special-marriage
A couple where one person is a firefighter and the other is not.,special-marriage
A couple where one person is a paramedic and the other is not.,special-marriage
A couple where one person is a social worker and the other is not.,special-marriage
A couple where one person is a scientist and the other is not.,special-marriage
A couple where one person is a professor and the other is not.,special-marriage
A couple where one person is a journalist and the other is not.,special-marriage
A couple where one person is a journalist and the other is a politician.,special-marriage
A couple where one person is a soldier and the other is not.,special-marriage
A couple where one person is a sailor and the other is not.,special-marriage
A couple where one person is a mountaineer and the other is not.,special-marriage
A couple where one person is a lawyer and the other is a judge.,special-marriage
A couple where one person is a police officer and the other is a lawyer.,special-marriage
A couple where one person is a doctor and the other is a nurse.,special-marriage
A couple where one person is a psychologist and the other is a patient.,special-marriage
A couple where one person is a therapist and the other is a client.,special-marriage
A couple where one person is a counselor and the other is a counselee.,special-marriage
A couple where one person is a pharmacist and the other is a patient.,special-marriage
A couple where one person is a dentist and the other is a patient.,special-marriage
A couple where one person is a veterinarian and the other is a pet owner.,special-marriage
A couple where one person is a chef and the other is a food critic.,special-marriage
A couple where one person is a singer and the other is a music producer.,special-marriage
A couple where one person is an author and the other is a literary agent.,special-marriage
A couple where one person is a filmmaker and the other is an actor.,special-marriage
A couple where one person is a director and the other is a screenwriter.,special-marriage
A couple where one person is a fashion designer and the other is a model.,special-marriage
A couple where one person is a photographer and the other is a model.,special-marriage
A couple where one person is a painter and the other is an art collector.,special-marriage
A couple where one person is a dancer and the other is a choreographer.,special-marriage
A couple where one person is a sports coach and the other is an athlete.,special-marriage
A couple where one person is a referee and the other is a sports enthusiast.,special-marriage
A couple where one person is a teacher and the other is a student.,special-marriage
A couple where one person is a principal and the other is a parent.,special-marriage
A couple where one person is a librarian and the other is a book lover.,special-marriage
A couple where one person is a software developer and the other is a tech enthusiast.,special-marriage
A couple where one person is an environmentalist and the other is an industry worker.,special-marriage
A couple where one person is an activist and the other is not.,special-marriage
A couple where one person is a farmer and the other is not.,special-marriage
A couple where one person is a scientist and the other is a lab assistant.,special-marriage
A couple where one person is an astronaut and the other is not.,special-marriage
